distance_range,start_zone,total_frequency,district,city,city_code,population_district
[35640-1170548],440309,32103,龙华区,深圳市,V0440300,2528872
[35640-1170548],440106,59340,天河区,广州市,V0440100,2241826
[35640-1170548],441302,125794,惠城区,惠州市,V0441300,2090578
[35640-1170548],440105,36545,海珠区,广州市,V0440100,1819037
[35640-1170548],440305,78049,南山区,深圳市,V0440300,1795826
[35640-1170548],440114,73796,花都区,广州市,V0440100,1642360
[35640-1170548],440304,30329,福田区,深圳市,V0440300,1553225
[35640-1170548],440118,59868,增城区,广州市,V0440100,1466331
[35640-1170548],441303,87516,惠阳区,惠州市,V0441300,1404137
[35640-1170548],440402,37473,香洲区,珠海市,V0440400,1384317
[35640-1170548],440604,25757,禅城区,佛山市,V0440600,1330262
[35640-1170548],440112,40699,黄埔区,广州市,V0440100,1264447
[35640-1170548],440103,21610,荔湾区,广州市,V0440100,1238305
[35640-1170548],441322,85114,博罗县,惠州市,V0441300,1210878
[35640-1170548],440303,22165,罗湖区,深圳市,V0440300,1143801
[35640-1170548],440104,45387,越秀区,广州市,V0440100,1038643
[35640-1170548],441323,58492,惠东县,惠州市,V0441300,1018076
[35640-1170548],440705,14238,新会区,江门市,V0440700,909277
[35640-1170548],440781,17485,台山市,江门市,V0440700,907744
[35640-1170548],440703,16173,蓬江区,江门市,V0440700,853007
[35640-1170548],440115,62564,南沙区,广州市,V0440100,846584
[35640-1170548],441224,23973,怀集县,肇庆市,V0441200,805177
[35640-1170548],440607,23745,三水区,佛山市,V0440600,803226
[35640-1170548],440783,12989,开平市,江门市,V0440700,748777
[35640-1170548],441204,25749,高要区,肇庆市,V0441200,741591
[35640-1170548],440117,38596,从化区,广州市,V0440100,717684
[35640-1170548],441284,33176,四会市,肇庆市,V0441200,640910
[35640-1170548],440403,12281,斗门区,珠海市,V0440400,608899
[35640-1170548],441202,31698,端州区,肇庆市,V0441200,602402
[35640-1170548],440310,32590,坪山区,深圳市,V0440300,551333
[35640-1170548],440784,11403,鹤山市,江门市,V0440700,530684
[35640-1170548],440785,7632,恩平市,江门市,V0440700,483907
[35640-1170548],440608,18863,高明区,佛山市,V0440600,469038
[35640-1170548],440404,16507,金湾区,珠海市,V0440400,446369
[35640-1170548],441223,26456,广宁县,肇庆市,V0441200,408112
[35640-1170548],441225,3707,封开县,肇庆市,V0441200,374848
[35640-1170548],440704,5825,江海区,江门市,V0440700,364694
[35640-1170548],441226,7473,德庆县,肇庆市,V0441200,331438
[35640-1170548],441324,12631,龙门县,惠州市,V0441300,319183
[35640-1170548],440308,7260,盐田区,深圳市,V0440300,214225
[35640-1170548],441203,7215,鼎湖区,肇庆市,V0441200,209116
[18469-35640],440308,6512,盐田区,深圳市,V0440300,214225
[790-1767],440306,360514,宝安区,深圳市,V0440300,4476554
[790-1767],442000,277738,中山市,中山市,V0442000,4418060
[790-1767],440307,199791,龙岗区,深圳市,V0440300,4135273
[790-1767],440111,345389,白云区,广州市,V0440100,3742991
[790-1767],440605,225572,南海区,佛山市,V0440600,3667247
[790-1767],440606,198196,顺德区,佛山市,V0440600,3229090
[790-1767],440113,211440,番禺区,广州市,V0440100,2658397
[790-1767],440309,171411,龙华区,深圳市,V0440300,2528872
[790-1767],440106,232312,天河区,广州市,V0440100,2241826
[790-1767],441302,50133,惠城区,惠州市,V0441300,2090578
[790-1767],440105,173786,海珠区,广州市,V0440100,1819037
[790-1767],440305,150288,南山区,深圳市,V0440300,1795826
[790-1767],440114,138255,花都区,广州市,V0440100,1642360
[790-1767],440304,136159,福田区,深圳市,V0440300,1553225
[790-1767],440118,88595,增城区,广州市,V0440100,1466331
[790-1767],440402,135109,香洲区,珠海市,V0440400,1384317
[790-1767],440604,126521,禅城区,佛山市,V0440600,1330262
[790-1767],440112,103067,黄埔区,广州市,V0440100,1264447
[790-1767],440103,73664,荔湾区,广州市,V0440100,1238305
[790-1767],440303,71591,罗湖区,深圳市,V0440300,1143801
[790-1767],440104,115089,越秀区,广州市,V0440100,1038643
[790-1767],441323,16326,惠东县,惠州市,V0441300,1018076
[790-1767],440705,35331,新会区,江门市,V0440700,909277
[790-1767],440781,24797,台山市,江门市,V0440700,907744
[790-1767],440703,69130,蓬江区,江门市,V0440700,853007
[790-1767],440115,35493,南沙区,广州市,V0440100,846584
[790-1767],441224,5691,怀集县,肇庆市,V0441200,805177
[790-1767],440607,29984,三水区,佛山市,V0440600,803226
[790-1767],440783,30144,开平市,江门市,V0440700,748777
[790-1767],441204,10112,高要区,肇庆市,V0441200,741591
[790-1767],440117,35081,从化区,广州市,V0440100,717684
[790-1767],441284,10659,四会市,肇庆市,V0441200,640910
[790-1767],440403,22321,斗门区,珠海市,V0440400,608899
[790-1767],441202,21274,端州区,肇庆市,V0441200,602402
[790-1767],440310,42070,坪山区,深圳市,V0440300,551333
[790-1767],440784,20820,鹤山市,江门市,V0440700,530684
[790-1767],440785,15190,恩平市,江门市,V0440700,483907
[790-1767],440608,22834,高明区,佛山市,V0440600,469038
[790-1767],440404,20684,金湾区,珠海市,V0440400,446369
[790-1767],441223,5071,广宁县,肇庆市,V0441200,408112
[790-1767],441225,1777,封开县,肇庆市,V0441200,374848
[790-1767],440704,27512,江海区,江门市,V0440700,364694
[790-1767],441226,4089,德庆县,肇庆市,V0441200,331438
[790-1767],441324,1161,龙门县,惠州市,V0441300,319183
[790-1767],440308,9053,盐田区,深圳市,V0440300,214225
[790-1767],441203,3166,鼎湖区,肇庆市,V0441200,209116
[3605-5255],440103,63797,荔湾区,广州市,V0440100,1238305
[3605-5255],440104,108299,越秀区,广州市,V0440100,1038643
[3605-5255],440105,115324,海珠区,广州市,V0440100,1819037
[3605-5255],440106,171213,天河区,广州市,V0440100,2241826
[3605-5255],440111,210135,白云区,广州市,V0440100,3742991
[3605-5255],440112,93208,黄埔区,广州市,V0440100,1264447
[3605-5255],440113,150636,番禺区,广州市,V0440100,2658397
[3605-5255],440114,110463,花都区,广州市,V0440100,1642360
[3605-5255],440115,48827,南沙区,广州市,V0440100,846584
[3605-5255],440117,26028,从化区,广州市,V0440100,717684
[3605-5255],440118,72356,增城区,广州市,V0440100,1466331
[3605-5255],440303,47921,罗湖区,深圳市,V0440300,1143801
[3605-5255],440304,101224,福田区,深圳市,V0440300,1553225
[3605-5255],440305,126203,南山区,深圳市,V0440300,1795826
[3605-5255],440306,199369,宝安区,深圳市,V0440300,4476554
[3605-5255],440307,122177,龙岗区,深圳市,V0440300,4135273
[3605-5255],440308,5977,盐田区,深圳市,V0440300,214225
[3605-5255],440309,88663,龙华区,深圳市,V0440300,2528872
[3605-5255],440310,25146,坪山区,深圳市,V0440300,551333
[3605-5255],440402,114726,香洲区,珠海市,V0440400,1384317
[3605-5255],440403,16091,斗门区,珠海市,V0440400,608899
[3605-5255],440404,16480,金湾区,珠海市,V0440400,446369
[3605-5255],440604,104090,禅城区,佛山市,V0440600,1330262
[3605-5255],440605,226830,南海区,佛山市,V0440600,3667247
[3605-5255],440606,175960,顺德区,佛山市,V0440600,3229090
[3605-5255],440607,33459,三水区,佛山市,V0440600,803226
[3605-5255],440608,17236,高明区,佛山市,V0440600,469038
[3605-5255],440703,58139,蓬江区,江门市,V0440700,853007
[3605-5255],440704,25540,江海区,江门市,V0440700,364694
[3605-5255],440705,28043,新会区,江门市,V0440700,909277
[3605-5255],440781,19220,台山市,江门市,V0440700,907744
[3605-5255],440783,20301,开平市,江门市,V0440700,748777
[3605-5255],440784,17584,鹤山市,江门市,V0440700,530684
[3605-5255],440785,10716,恩平市,江门市,V0440700,483907
[3605-5255],441202,33551,端州区,肇庆市,V0441200,602402
[3605-5255],441203,7444,鼎湖区,肇庆市,V0441200,209116
[3605-5255],441204,13757,高要区,肇庆市,V0441200,741591
[3605-5255],441223,3093,广宁县,肇庆市,V0441200,408112
[3605-5255],441224,3655,怀集县,肇庆市,V0441200,805177
[3605-5255],441225,1909,封开县,肇庆市,V0441200,374848
[3605-5255],441226,2271,德庆县,肇庆市,V0441200,331438
[3605-5255],441284,21169,四会市,肇庆市,V0441200,640910
[3605-5255],441302,85302,惠城区,惠州市,V0441300,2090578
[3605-5255],441303,40353,惠阳区,惠州市,V0441300,1404137
[3605-5255],441322,17973,博罗县,惠州市,V0441300,1210878
[3605-5255],441323,15633,惠东县,惠州市,V0441300,1018076
[3605-5255],441324,1994,龙门县,惠州市,V0441300,319183
[3605-5255],442000,308045,中山市,中山市,V0442000,4418060
[5255-7458],440103,66173,荔湾区,广州市,V0440100,1238305
[5255-7458],440104,128014,越秀区,广州市,V0440100,1038643
[5255-7458],440105,131520,海珠区,广州市,V0440100,1819037
[5255-7458],440106,205082,天河区,广州市,V0440100,2241826
[5255-7458],440111,228968,白云区,广州市,V0440100,3742991
[5255-7458],440112,88867,黄埔区,广州市,V0440100,1264447
[5255-7458],440113,139181,番禺区,广州市,V0440100,2658397
[5255-7458],440114,91749,花都区,广州市,V0440100,1642360
[5255-7458],440115,50844,南沙区,广州市,V0440100,846584
[5255-7458],440117,24216,从化区,广州市,V0440100,717684
[5255-7458],440118,64930,增城区,广州市,V0440100,1466331
[5255-7458],440303,52910,罗湖区,深圳市,V0440300,1143801
[5255-7458],440304,101211,福田区,深圳市,V0440300,1553225
[5255-7458],440305,124504,南山区,深圳市,V0440300,1795826
[5255-7458],440306,185535,宝安区,深圳市,V0440300,4476554
[5255-7458],440307,124312,龙岗区,深圳市,V0440300,4135273
[5255-7458],440308,4293,盐田区,深圳市,V0440300,214225
[5255-7458],440309,86285,龙华区,深圳市,V0440300,2528872
[5255-7458],440310,23399,坪山区,深圳市,V0440300,551333
[5255-7458],440402,110733,香洲区,珠海市,V0440400,1384317
[5255-7458],440403,17180,斗门区,珠海市,V0440400,608899
[5255-7458],440404,17206,金湾区,珠海市,V0440400,446369
[5255-7458],440604,96369,禅城区,佛山市,V0440600,1330262
[5255-7458],440605,231961,南海区,佛山市,V0440600,3667247
[5255-7458],440606,153115,顺德区,佛山市,V0440600,3229090
[5255-7458],440607,31449,三水区,佛山市,V0440600,803226
[5255-7458],440608,16429,高明区,佛山市,V0440600,469038
[5255-7458],440703,48399,蓬江区,江门市,V0440700,853007
[5255-7458],440704,23189,江海区,江门市,V0440700,364694
[5255-7458],440705,28410,新会区,江门市,V0440700,909277
[5255-7458],440781,19504,台山市,江门市,V0440700,907744
[5255-7458],440783,18083,开平市,江门市,V0440700,748777
[5255-7458],440784,15916,鹤山市,江门市,V0440700,530684
[5255-7458],440785,8798,恩平市,江门市,V0440700,483907
[5255-7458],441202,34219,端州区,肇庆市,V0441200,602402
[5255-7458],441203,6898,鼎湖区,肇庆市,V0441200,209116
[5255-7458],441204,16353,高要区,肇庆市,V0441200,741591
[5255-7458],441223,3778,广宁县,肇庆市,V0441200,408112
[5255-7458],441224,3921,怀集县,肇庆市,V0441200,805177
[5255-7458],441225,2503,封开县,肇庆市,V0441200,374848
[5255-7458],441226,2372,德庆县,肇庆市,V0441200,331438
[5255-7458],441284,19023,四会市,肇庆市,V0441200,640910
[5255-7458],441302,86704,惠城区,惠州市,V0441300,2090578
[5255-7458],441303,43688,惠阳区,惠州市,V0441300,1404137
[5255-7458],441322,20235,博罗县,惠州市,V0441300,1210878
[5255-7458],441323,14276,惠东县,惠州市,V0441300,1018076
[5255-7458],441324,2788,龙门县,惠州市,V0441300,319183
[5255-7458],441900,2,东莞市,东莞市,V0441900,10466625
[5255-7458],442000,268220,中山市,中山市,V0442000,4418060
[7458-11180],440103,69869,荔湾区,广州市,V0440100,1238305
[7458-11180],440104,129752,越秀区,广州市,V0440100,1038643
[7458-11180],440105,132336,海珠区,广州市,V0440100,1819037
[7458-11180],440106,234777,天河区,广州市,V0440100,2241826
[7458-11180],440111,250358,白云区,广州市,V0440100,3742991
[7458-11180],440112,94419,黄埔区,广州市,V0440100,1264447
[7458-11180],440113,152265,番禺区,广州市,V0440100,2658397
[7458-11180],440114,75366,花都区,广州市,V0440100,1642360
[7458-11180],440115,46269,南沙区,广州市,V0440100,846584
[7458-11180],440117,22427,从化区,广州市,V0440100,717684
[7458-11180],440118,52172,增城区,广州市,V0440100,1466331
[7458-11180],440303,56717,罗湖区,深圳市,V0440300,1143801
[7458-11180],440304,137465,福田区,深圳市,V0440300,1553225
[7458-11180],440305,144564,南山区,深圳市,V0440300,1795826
[7458-11180],440306,195175,宝安区,深圳市,V0440300,4476554
[7458-11180],440307,151126,龙岗区,深圳市,V0440300,4135273
[7458-11180],440308,5714,盐田区,深圳市,V0440300,214225
[7458-11180],440309,111083,龙华区,深圳市,V0440300,2528872
[7458-11180],440310,23449,坪山区,深圳市,V0440300,551333
[7458-11180],440402,96116,香洲区,珠海市,V0440400,1384317
[7458-11180],440403,15876,斗门区,珠海市,V0440400,608899
[7458-11180],440404,19419,金湾区,珠海市,V0440400,446369
[7458-11180],440604,85548,禅城区,佛山市,V0440600,1330262
[7458-11180],440605,234251,南海区,佛山市,V0440600,3667247
[7458-11180],440606,127915,顺德区,佛山市,V0440600,3229090
[7458-11180],440607,27864,三水区,佛山市,V0440600,803226
[7458-11180],440608,18723,高明区,佛山市,V0440600,469038
[7458-11180],440703,36469,蓬江区,江门市,V0440700,853007
[7458-11180],440704,17103,江海区,江门市,V0440700,364694
[7458-11180],440705,28135,新会区,江门市,V0440700,909277
[7458-11180],440781,17275,台山市,江门市,V0440700,907744
[7458-11180],440783,18162,开平市,江门市,V0440700,748777
[7458-11180],440784,13550,鹤山市,江门市,V0440700,530684
[7458-11180],440785,8209,恩平市,江门市,V0440700,483907
[7458-11180],441202,14835,端州区,肇庆市,V0441200,602402
[7458-11180],441203,6971,鼎湖区,肇庆市,V0441200,209116
[7458-11180],441204,15638,高要区,肇庆市,V0441200,741591
[7458-11180],441223,5621,广宁县,肇庆市,V0441200,408112
[7458-11180],441224,3689,怀集县,肇庆市,V0441200,805177
[7458-11180],441225,2282,封开县,肇庆市,V0441200,374848
[7458-11180],441226,2903,德庆县,肇庆市,V0441200,331438
[7458-11180],441284,15643,四会市,肇庆市,V0441200,640910
[7458-11180],441302,86760,惠城区,惠州市,V0441300,2090578
[7458-11180],441303,41764,惠阳区,惠州市,V0441300,1404137
[7458-11180],441322,21704,博罗县,惠州市,V0441300,1210878
[7458-11180],441323,11900,惠东县,惠州市,V0441300,1018076
[7458-11180],441324,3255,龙门县,惠州市,V0441300,319183
[7458-11180],442000,209535,中山市,中山市,V0442000,4418060
[18469-35640],441203,6703,鼎湖区,肇庆市,V0441200,209116
